"시점","항목","업태별",데이터
"2020. 12","불변지수","의약품·화장품·기타상품 소매점",93.1
"2020. 12","불변지수","무점포 소매",236.9
"2020. 12","불변지수","인터넷 쇼핑",325.3
"2020. 12","불변지수","홈쇼핑",153.0
"2020. 12","불변지수","방문 및 배달 소매점",70.1
"2021. 01 p)","불변지수","총지수",111.6
"2021. 01 p)","불변지수","백화점",94.5
"2021. 01 p)","불변지수","대형마트",100.9
"2021. 01 p)","불변지수","면세점",180.7
"2021. 01 p)","불변지수","슈퍼마켓 및 잡화점",91.5
"2021. 01 p)","불변지수","체인 슈퍼마켓",106.2
"2021. 01 p)","불변지수","일반 슈퍼마켓 및 잡화점",83.8
"2021. 01 p)","불변지수","편의점",142.7
"2021. 01 p)","불변지수","승용차 및 연료 소매점",112.5
"2021. 01 p)","불변지수","승용차 소매점",123.8
"2021. 01 p)","불변지수","연료 소매점",102.1
"2021. 01 p)","불변지수","전문소매점",78.0
"2021. 01 p)","불변지수","가전·컴퓨터·통신기기 소매점",96.4
"2021. 01 p)","불변지수","의복·신발·가방 소매점",59.5
"2021. 01 p)","불변지수","음식·가정· 문화상품 소매점",76.0
"2021. 01 p)","불변지수","의약품·화장품·기타상품 소매점",88.4
"2021. 01 p)","불변지수","무점포 소매",221.8
"2021. 01 p)","불변지수","인터넷 쇼핑",301.8
"2021. 01 p)","불변지수","홈쇼핑",142.1
"2021. 01 p)","불변지수","방문 및 배달 소매점",75.8
"2021. 02 p)","불변지수","총지수",105.9
"2021. 02 p)","불변지수","백화점",95.7
"2021. 02 p)","불변지수","대형마트",95.4
"2021. 02 p)","불변지수","면세점",152.9
"2021. 02 p)","불변지수","슈퍼마켓 및 잡화점",89.9
"2021. 02 p)","불변지수","체인 슈퍼마켓",109.4
"2021. 02 p)","불변지수","일반 슈퍼마켓 및 잡화점",79.7
"2021. 02 p)","불변지수","편의점",132.3
"2021. 02 p)","불변지수","승용차 및 연료 소매점",105.3
"2021. 02 p)","불변지수","승용차 소매점",111.2
"2021. 02 p)","불변지수","연료 소매점",100.0
"2021. 02 p)","불변지수","전문소매점",78.6
"2021. 02 p)","불변지수","가전·컴퓨터·통신기기 소매점",87.9
"2021. 02 p)","불변지수","의복·신발·가방 소매점",63.3
"2021. 02 p)","불변지수","음식·가정· 문화상품 소매점",81.3
"2021. 02 p)","불변지수","의약품·화장품·기타상품 소매점",86.5
"2021. 02 p)","불변지수","무점포 소매",198.1
"2021. 02 p)","불변지수","인터넷 쇼핑",272.6
"2021. 02 p)","불변지수","홈쇼핑",124.0
"2021. 02 p)","불변지수","방문 및 배달 소매점",61.9
